id	name
847381935	"DRAGON QUEST IV"
933113994	"DRAGON QUEST V"
949745100	"DRAGON QUEST VI"
862972069	"DRAGON QUEST VIII"
1555184523	"My Time at Portia"
978524071	"Grim Fandango Remastered"
1537060891	"Titan Quest: Legendary Edition"
1435461053	"This Is the Police"
1453820315	"This Is the Police 2"
1228969539	"Thimbleweed Park"
1168013926	"Dandara Trials of Fear Edition"
1005658093	"The Escapists: Prison Escape"
1356167732	"Escapists 2: Pocket Breakout"
1476649036	"Pascal's Wager"
1132258364	"NEO Scavenger"
1572602587	"SNKRX"
1572242486	"Tesla Force"
1212868423	"Tesla vs Lovecraft"
1212865786	"JYDGE"
1388267373	"Undead Horde"
492598036	"Lunar Silver Star Story Touch"
625257520	"Hearthstone"
1466943149	"GWENT: The Witcher Card Game"
1480616748	"TFT: Teamfight Tactics"
1480616990	"League of Legends: Wild Rift"
1552176109	"Trials of Mana"
1532193171	"Actraiser Renaissance"
503190232	"Bridge Constructor"
814323051	"Bridge Constructor Medieval"
1021586545	"Bridge Constructor Stunts"
578203499	"Bridge Constructor Playground"
1510735231	"Bridge Constructor: TWD"
1030902626	"Scribblenauts Unlimited"
708196645	"Oceanhorn ™"
1198183067	"Huntdown"
1254864644	"Nexomon"
1474335542	"Nexomon: Extinction"
1573029040	"Alien: Isolation"
540925164	"Need for Speed™ Most Wanted"
1079035032	"Layers of Fear"
1008783470	"Sanitarium"
1385258906	"Mindustry"
1563156209	"Legend of Mana"
1477991646	"Kingdom Two Crowns"
663811684	"Duke Nukem - Manhattan Project"
311544087	"Pocket Tanks"
864880531	"Civilization Revolution 2"
991153141	"Fallout Shelter"
1277095117	"Project Highrise"
1008692660	"RollerCoaster Tycoon® 3"
1612148433	"NETFLIX Moonlighter"
1574504250	"GWENT: Rogue Mage"
1368013995	"Dicey Dungeons"
935216956	"Papers	 Please"
1491520571	"Brawlhalla"
1525439109	"Creatures of Aether"
